State,District,Latitude,Longitude,Soil_phh2o_0-5cm,Soil_ocd_0-5cm,Soil_clay_0-5cm,Soil_sand_0-5cm,Soil_silt_0-5cm,Soil_bdod_0-5cm,Year,avg_temp,avg_humidity,avg_windspeed,avg_solarradiation
Andhra Pradesh,Alluri sitharama raju,17.8859254,82.217928,5.9,33.9,25.4,45.1,29.5,1.19,2008 - 2009,24.29515068,69.33808219,1.794630137,17.94323288
Andhra Pradesh,Alluri sitharama raju,17.8859254,82.217928,5.9,33.9,25.4,45.1,29.5,1.19,2009 - 2010,24.25205479,71.11290411,1.931424658,17.85235616
Andhra Pradesh,Alluri sitharama raju,17.8859254,82.217928,5.9,33.9,25.4,45.1,29.5,1.19,2010 - 2011,23.08605479,77.33342466,1.840767123,17.42742466
Andhra Pradesh,Alluri sitharama raju,17.8859254,82.217928,5.9,33.9,25.4,45.1,29.5,1.19,2011 - 2012,24.1804918,68.95215847,1.830464481,18.04467213
Andhra Pradesh,Alluri sitharama raju,17.8859254,82.217928,5.9,33.9,25.4,45.1,29.5,1.19,2012 - 2013,23.60372603,73.81860274,2.050273973,17.48506849
Andhra Pradesh,Alluri sitharama raju,17.8859254,82.217928,5.9,33.9,25.4,45.1,29.5,1.19,2013 - 2014,23.45893151,74.96846575,1.951561644,17.39378082
Andhra Pradesh,Alluri sitharama raju,17.8859254,82.217928,5.9,33.9,25.4,45.1,29.5,1.19,2014 - 2015,23.32989041,72.90378082,1.941945205,17.26520548
Andhra Pradesh,Alluri sitharama raju,17.8859254,82.217928,5.9,33.9,25.4,45.1,29.5,1.19,2015 - 2016,24.16592896,73.07147541,1.81579235,17.69745902
Andhra Pradesh,Alluri sitharama raju,17.8859254,82.217928,5.9,33.9,25.4,45.1,29.5,1.19,2016 - 2017,23.93643836,70.91852055,1.846219178,17.83372603
Andhra Pradesh,Alluri sitharama raju,17.8859254,82.217928,5.9,33.9,25.4,45.1,29.5,1.19,2017 - 2018,23.64128767,71.67189041,1.691780822,17.79416438
Andhra Pradesh,Alluri sitharama raju,17.8859254,82.217928,5.9,33.9,25.4,45.1,29.5,1.19,2018 - 2019,24.02939726,70.71320548,1.939315068,17.73778082
Andhra Pradesh,Alluri sitharama raju,17.8859254,82.217928,5.9,33.9,25.4,45.1,29.5,1.19,2019 - 2020,23.5460929,76.97663934,1.825983607,17.23215847
Andhra Pradesh,Alluri sitharama raju,17.8859254,82.217928,5.9,33.9,25.4,45.1,29.5,1.19,2020 - 2021,23.59076712,74.49939726,1.780958904,17.21715068
Andhra Pradesh,Alluri sitharama raju,17.8859254,82.217928,5.9,33.9,25.4,45.1,29.5,1.19,2021 - 2022,23.69884932,76.3900274,1.806136986,17.03391781
Andhra Pradesh,Alluri sitharama raju,17.8859254,82.217928,5.9,33.9,25.4,45.1,29.5,1.19,2022 - 2023,23.81093151,72.62249315,1.735260274,17.0449863
Andhra Pradesh,Anakapalli,17.6715331,82.7747567,6.1,28.5,30.2,39,30.7,1.37,2001 - 2002,26.3470137,72.75473973,2.481534247,18.16808219
Andhra Pradesh,Anakapalli,17.6715331,82.7747567,6.1,28.5,30.2,39,30.7,1.37,2002 - 2003,26.84824658,69.19172603,2.464931507,18.39961644
Andhra Pradesh,Anakapalli,17.6715331,82.7747567,6.1,28.5,30.2,39,30.7,1.37,2003 - 2004,25.66603825,76.29598361,2.409863388,17.86013661
Andhra Pradesh,Anakapalli,17.6715331,82.7747567,6.1,28.5,30.2,39,30.7,1.37,2004 - 2005,26.17852055,74.33890411,2.292054795,18.56079452
Andhra Pradesh,Anakapalli,17.6715331,82.7747567,6.1,28.5,30.2,39,30.7,1.37,2005 - 2006,25.73427397,74.98339726,2.326,17.7310137
Andhra Pradesh,Anakapalli,17.6715331,82.7747567,6.1,28.5,30.2,39,30.7,1.37,2006 - 2007,25.92347945,75.63060274,2.33060274,17.99156164
Andhra Pradesh,Anakapalli,17.6715331,82.7747567,6.1,28.5,30.2,39,30.7,1.37,2007 - 2008,25.6734153,75.58418033,2.260300546,17.73825137
Andhra Pradesh,Anakapalli,17.6715331,82.7747567,6.1,28.5,30.2,39,30.7,1.37,2008 - 2009,26.57931507,71.97589041,2.275534247,17.94323288
Andhra Pradesh,Anakapalli,17.6715331,82.7747567,6.1,28.5,30.2,39,30.7,1.37,2009 - 2010,26.66315068,72.2669589,2.378712329,17.85235616
Andhra Pradesh,Anakapalli,17.6715331,82.7747567,6.1,28.5,30.2,39,30.7,1.37,2010 - 2011,25.42454795,78.45835616,2.267534247,17.42742466
Andhra Pradesh,Anakapalli,17.6715331,82.7747567,6.1,28.5,30.2,39,30.7,1.37,2011 - 2012,26.55519126,71.08308743,2.320874317,18.04467213
Andhra Pradesh,Anakapalli,17.6715331,82.7747567,6.1,28.5,30.2,39,30.7,1.37,2012 - 2013,25.84663014,75.39021918,2.477671233,17.48506849
Andhra Pradesh,Anakapalli,17.6715331,82.7747567,6.1,28.5,30.2,39,30.7,1.37,2013 - 2014,25.8869863,75.11136986,2.402191781,17.39378082
Andhra Pradesh,Anakapalli,17.6715331,82.7747567,6.1,28.5,30.2,39,30.7,1.37,2014 - 2015,25.85882192,73.10016438,2.438821918,17.26520548
Andhra Pradesh,Anakapalli,17.6715331,82.7747567,6.1,28.5,30.2,39,30.7,1.37,2015 - 2016,26.3557377,75.29306011,2.258688525,17.69745902
Andhra Pradesh,Anakapalli,17.6715331,82.7747567,6.1,28.5,30.2,39,30.7,1.37,2016 - 2017,26.14079452,73.79443836,2.290465753,17.83372603
Andhra Pradesh,Anakapalli,17.6715331,82.7747567,6.1,28.5,30.2,39,30.7,1.37,2017 - 2018,25.88613699,74.13378082,2.185068493,17.79416438
Andhra Pradesh,Anakapalli,17.6715331,82.7747567,6.1,28.5,30.2,39,30.7,1.37,2018 - 2019,26.2000274,73.3450137,2.376630137,17.73778082
Andhra Pradesh,Anakapalli,17.6715331,82.7747567,6.1,28.5,30.2,39,30.7,1.37,2019 - 2020,25.94224044,77.23101093,2.353442623,17.23215847
Andhra Pradesh,Anakapalli,17.6715331,82.7747567,6.1,28.5,30.2,39,30.7,1.37,2020 - 2021,25.93980822,76.29032877,2.260657534,17.21715068
Andhra Pradesh,Anakapalli,17.6715331,82.7747567,6.1,28.5,30.2,39,30.7,1.37,2021 - 2022,25.95660274,77.95832877,2.256520548,17.03391781
Andhra Pradesh,Anakapalli,17.6715331,82.7747567,6.1,28.5,30.2,39,30.7,1.37,2022 - 2023,26.14835616,74.46580822,2.172794521,17.0449863
Andhra Pradesh,Anantapur,14.72422,77.4306738,7.1,20.3,29.6,47.2,23.2,1.54,2001 - 2002,26.40246575,63.06808219,3.341342466,20.45953425
Andhra Pradesh,Anantapur,14.72422,77.4306738,7.1,20.3,29.6,47.2,23.2,1.54,2002 - 2003,27.75961644,54.62556164,3.543506849,21.06027397
Andhra Pradesh,Anantapur,14.72422,77.4306738,7.1,20.3,29.6,47.2,23.2,1.54,2003 - 2004,26.64956284,60.00726776,3.376448087,20.7397541
Andhra Pradesh,Anantapur,14.72422,77.4306738,7.1,20.3,29.6,47.2,23.2,1.54,2004 - 2005,26.81673973,59.78441096,3.207917808,20.99232877
Andhra Pradesh,Anantapur,14.72422,77.4306738,7.1,20.3,29.6,47.2,23.2,1.54,2005 - 2006,25.60052055,67.16547945,2.937808219,20.33734247
Andhra Pradesh,Anantapur,14.72422,77.4306738,7.1,20.3,29.6,47.2,23.2,1.54,2006 - 2007,26.6210411,61.0889863,3.396630137,20.54926027
Andhra Pradesh,Anantapur,14.72422,77.4306738,7.1,20.3,29.6,47.2,23.2,1.54,2007 - 2008,25.71040984,65.70956284,3.131502732,20.11226776
Andhra Pradesh,Anantapur,14.72422,77.4306738,7.1,20.3,29.6,47.2,23.2,1.54,2008 - 2009,26.4039726,61.13846575,3.080657534,20.98556164
Andhra Pradesh,Anantapur,14.72422,77.4306738,7.1,20.3,29.6,47.2,23.2,1.54,2009 - 2010,26.86693151,62.77983562,3.357123288,20.06556164
Andhra Pradesh,Anantapur,14.72422,77.4306738,7.1,20.3,29.6,47.2,23.2,1.54,2010 - 2011,25.98452055,65.49364384,3.154328767,20.0370137
Andhra Pradesh,Anantapur,14.72422,77.4306738,7.1,20.3,29.6,47.2,23.2,1.54,2011 - 2012,26.86939891,58.06543716,3.501639344,20.7665847
Andhra Pradesh,Anantapur,14.72422,77.4306738,7.1,20.3,29.6,47.2,23.2,1.54,2012 - 2013,26.80643836,59.74476712,3.512246575,20.48526027
Andhra Pradesh,Anantapur,14.72422,77.4306738,7.1,20.3,29.6,47.2,23.2,1.54,2013 - 2014,26.54106849,60.70369863,3.354410959,19.98728767
Andhra Pradesh,Anantapur,14.72422,77.4306738,7.1,20.3,29.6,47.2,23.2,1.54,2014 - 2015,26.19282192,61.54416438,3.304547945,20.19575342
Andhra Pradesh,Anantapur,14.72422,77.4306738,7.1,20.3,29.6,47.2,23.2,1.54,2015 - 2016,27.21142077,60.2954918,3.142622951,20.46939891
Andhra Pradesh,Anantapur,14.72422,77.4306738,7.1,20.3,29.6,47.2,23.2,1.54,2016 - 2017,27.09616438,53.69416438,3.121232877,20.37635616
Andhra Pradesh,Anantapur,14.72422,77.4306738,7.1,20.3,29.6,47.2,23.2,1.54,2017 - 2018,26.43558904,61.2149863,2.875753425,19.85939726
Andhra Pradesh,Anantapur,14.72422,77.4306738,7.1,20.3,29.6,47.2,23.2,1.54,2018 - 2019,27.81739726,53.12876712,3.281589041,20.31994521
Andhra Pradesh,Anantapur,14.72422,77.4306738,7.1,20.3,29.6,47.2,23.2,1.54,2019 - 2020,27.08306011,63.26784153,3.230956284,19.61726776
Andhra Pradesh,Anantapur,14.72422,77.4306738,7.1,20.3,29.6,47.2,23.2,1.54,2020 - 2021,25.91449315,67.60446575,3.065780822,19.36172603
Andhra Pradesh,Anantapur,14.72422,77.4306738,7.1,20.3,29.6,47.2,23.2,1.54,2021 - 2022,26.44613699,65.97841096,3.025178082,18.84073973
Andhra Pradesh,Anantapur,14.72422,77.4306738,7.1,20.3,29.6,47.2,23.2,1.54,2022 - 2023,26.27819178,64.19690411,2.959479452,19.61780822
Andhra Pradesh,Annamayya,13.8962384,78.6534802,7,25,33.8,45,21.2,1.38,2001 - 2002,26.03216438,67.18153425,3.063589041,20.03049315
Andhra Pradesh,Annamayya,13.8962384,78.6534802,7,25,33.8,45,21.2,1.38,2002 - 2003,27.20810959,59.32939726,3.168164384,20.36194521
Andhra Pradesh,Annamayya,13.8962384,78.6534802,7,25,33.8,45,21.2,1.38,2003 - 2004,26.11289617,64.89491803,2.989289617,20.34103825
Andhra Pradesh,Annamayya,13.8962384,78.6534802,7,25,33.8,45,21.2,1.38,2004 - 2005,26.12734247,66.10786301,2.879068493,20.19493151
Andhra Pradesh,Annamayya,13.8962384,78.6534802,7,25,33.8,45,21.2,1.38,2005 - 2006,25.33147945,70.35361644,2.657835616,19.50627397
Andhra Pradesh,Annamayya,13.8962384,78.6534802,7,25,33.8,45,21.2,1.38,2006 - 2007,26.36558904,64.41183562,3.041424658,20.09679452
Andhra Pradesh,Annamayya,13.8962384,78.6534802,7,25,33.8,45,21.2,1.38,2007 - 2008,25.46893443,69.02062842,2.761775956,19.69128415
Andhra Pradesh,Annamayya,13.8962384,78.6534802,7,25,33.8,45,21.2,1.38,2008 - 2009,26.01205479,65.20457534,2.745835616,20.28742466
Andhra Pradesh,Annamayya,13.8962384,78.6534802,7,25,33.8,45,21.2,1.38,2009 - 2010,26.68460274,65.36805479,3.083671233,19.73413699
Andhra Pradesh,Annamayya,13.8962384,78.6534802,7,25,33.8,45,21.2,1.38,2010 - 2011,25.69523288,68.90180822,2.828767123,19.48452055
Andhra Pradesh,Annamayya,13.8962384,78.6534802,7,25,33.8,45,21.2,1.38,2011 - 2012,26.53311475,62.15300546,3.081147541,20.13800546
Andhra Pradesh,Annamayya,13.8962384,78.6534802,7,25,33.8,45,21.2,1.38,2012 - 2013,26.55791781,63.05972603,3.123506849,19.97649315
Andhra Pradesh,Annamayya,13.8962384,78.6534802,7,25,33.8,45,21.2,1.38,2013 - 2014,26.17534247,64.63076712,3.083205479,19.53490411
Andhra Pradesh,Annamayya,13.8962384,78.6534802,7,25,33.8,45,21.2,1.38,2014 - 2015,25.92435616,65.2770137,3.03569863,19.44290411
Andhra Pradesh,Annamayya,13.8962384,78.6534802,7,25,33.8,45,21.2,1.38,2015 - 2016,26.23420765,67.47407104,2.874371585,19.97062842
Andhra Pradesh,Annamayya,13.8962384,78.6534802,7,25,33.8,45,21.2,1.38,2016 - 2017,26.80627397,58.54980822,2.863205479,20.10235616
Andhra Pradesh,Annamayya,13.8962384,78.6534802,7,25,33.8,45,21.2,1.38,2017 - 2018,25.9290137,66.95989041,2.57090411,19.47378082
Andhra Pradesh,Annamayya,13.8962384,78.6534802,7,25,33.8,45,21.2,1.38,2018 - 2019,27.49991781,57.93150685,3.058739726,19.89591781
Andhra Pradesh,Annamayya,13.8962384,78.6534802,7,25,33.8,45,21.2,1.38,2019 - 2020,26.73215847,66.15803279,2.936693989,19.19262295
Andhra Pradesh,Annamayya,13.8962384,78.6534802,7,25,33.8,45,21.2,1.38,2020 - 2021,25.31934247,72.48008219,2.582876712,18.91830137
Andhra Pradesh,Annamayya,13.8962384,78.6534802,7,25,33.8,45,21.2,1.38,2021 - 2022,25.78306849,71.22961644,2.661808219,18.44271233
Andhra Pradesh,Annamayya,13.8962384,78.6534802,7,25,33.8,45,21.2,1.38,2022 - 2023,25.8119726,68.94268493,2.67260274,19.05649315
Andhra Pradesh,Bapatla,15.9346161,80.3869706,6.5,31.7,27.9,35.5,36.7,1.17,2001 - 2002,28.42665753,70.24512329,3.143452055,18.85205479
Andhra Pradesh,Bapatla,15.9346161,80.3869706,6.5,31.7,27.9,35.5,36.7,1.17,2002 - 2003,28.71290411,68.38536986,3.074410959,19.0450137
Andhra Pradesh,Bapatla,15.9346161,80.3869706,6.5,31.7,27.9,35.5,36.7,1.17,2003 - 2004,27.88199454,72.10844262,3.087431694,18.58964481
Andhra Pradesh,Bapatla,15.9346161,80.3869706,6.5,31.7,27.9,35.5,36.7,1.17,2004 - 2005,28.47394521,69.82879452,3.04030137,19.14846575
Andhra Pradesh,Bapatla,15.9346161,80.3869706,6.5,31.7,27.9,35.5,36.7,1.17,2005 - 2006,27.62780822,73.82027397,2.831315068,18.60213699
Andhra Pradesh,Bapatla,15.9346161,80.3869706,6.5,31.7,27.9,35.5,36.7,1.17,2006 - 2007,28.12876712,71.46605479,3.067917808,18.69775342
Andhra Pradesh,Bapatla,15.9346161,80.3869706,6.5,31.7,27.9,35.5,36.7,1.17,2007 - 2008,27.76849727,72.54806011,2.905464481,18.74065574
Andhra Pradesh,Bapatla,15.9346161,80.3869706,6.5,31.7,27.9,35.5,36.7,1.17,2008 - 2009,28.10693151,72.21515068,2.788191781,18.96358904
Andhra Pradesh,Bapatla,15.9346161,80.3869706,6.5,31.7,27.9,35.5,36.7,1.17,2009 - 2010,28.59591781,70.57334247,3.070136986,18.54882192
Andhra Pradesh,Bapatla,15.9346161,80.3869706,6.5,31.7,27.9,35.5,36.7,1.17,2010 - 2011,27.56046575,75.14350685,2.89860274,18.37643836
Andhra Pradesh,Bapatla,15.9346161,80.3869706,6.5,31.7,27.9,35.5,36.7,1.17,2011 - 2012,28.77387978,67.5265847,3.002103825,18.98046448
Andhra Pradesh,Bapatla,15.9346161,80.3869706,6.5,31.7,27.9,35.5,36.7,1.17,2012 - 2013,27.89287671,71.95331507,3.004712329,18.58789041
Andhra Pradesh,Bapatla,15.9346161,80.3869706,6.5,31.7,27.9,35.5,36.7,1.17,2013 - 2014,27.9809589,71.20290411,2.989150685,18.02958904
Andhra Pradesh,Bapatla,15.9346161,80.3869706,6.5,31.7,27.9,35.5,36.7,1.17,2014 - 2015,28.0769863,69.47427397,3.031616438,18.26558904
Andhra Pradesh,Bapatla,15.9346161,80.3869706,6.5,31.7,27.9,35.5,36.7,1.17,2015 - 2016,28.55314208,70.78830601,3.003825137,18.7710929
